date,max_temp,min_temp,avg_temp,depart,HDD,CDD,precip,new_snow,snow_depth
2000-03-01,64,40,52,8.8,13,0,T,0,0
2000-03-02,60,39,49.5,6.1,15,0,0,0,0
2000-03-03,54,35,44.5,0.8,20,0,0,0,0
2000-03-04,58,35,46.5,2.6,18,0,0,0,0
2000-03-05,67,41,54,9.8,11,0,0,0,0
2000-03-06,61,40,50.5,6,14,0,0,0,0
2000-03-07,70,38,54,9.3,11,0,0,0,0
2000-03-08,85,50,67.5,22.5,0,3,0,0,0
2000-03-09,79,52,65.5,20.2,0,1,T,0,0
2000-03-10,72,55,63.5,17.9,1,0,0,0,0
2000-03-11,58,50,54,8.1,11,0,0.06,0,0
2000-03-12,55,38,46.5,0.3,18,0,0.18,0,0
2000-03-13,50,33,41.5,-4.9,23,0,0,0,0
2000-03-14,60,36,48,1.3,17,0,0,0,0
2000-03-15,70,45,57.5,10.4,7,0,0,0,0
2000-03-16,69,53,61,13.6,4,0,0.3,0,0
2000-03-17,61,33,47,-0.7,18,0,0.09,0,0
2000-03-18,42,27,34.5,-13.5,30,0,0,0,0
2000-03-19,47,32,39.5,-8.8,25,0,0,0,0
2000-03-20,49,40,44.5,-4.2,20,0,0.01,0,0
2000-03-21,43,41,42,-7,23,0,1.82,0,0
2000-03-22,48,42,45,-4.3,20,0,0.16,0,0
2000-03-23,63,42,52.5,2.8,12,0,0,0,0
2000-03-24,69,44,56.5,6.5,8,0,0,0,0
2000-03-25,75,47,61,10.6,4,0,0.42,0,0
2000-03-26,67,50,58.5,7.8,6,0,0,0,0
2000-03-27,69,43,56,4.9,9,0,0.89,0,0
2000-03-28,60,47,53.5,2,11,0,0.05,0,0
2000-03-29,62,43,52.5,0.7,12,0,0,0,0
2000-03-30,64,41,52.5,0.3,12,0,0,0,0
2000-03-31,60,40,50,-2.6,15,0,0,0,0
2001-03-01,50,28,39,-4.2,26,0,0,0,0
2001-03-02,58,36,47,3.6,18,0,0,0,0
2001-03-03,59,38,48.5,4.8,16,0,0,0,0
2001-03-04,47,37,42,-1.9,23,0,0.3,0,0
2001-03-05,43,28,35.5,-8.7,29,0,0.05,0.2,0
2001-03-06,39,25,32,-12.5,33,0,T,T,0
2001-03-07,51,34,42.5,-2.2,22,0,0,0,0
2001-03-08,50,30,40,-5,25,0,0,0,0
2001-03-09,46,34,40,-5.3,25,0,T,0,0
2001-03-10,49,31,40,-5.6,25,0,0,0,0
2001-03-11,66,32,49,3.1,16,0,0,0,0
2001-03-12,55,35,45,-1.2,20,0,0.28,0,0
2001-03-13,63,40,51.5,5.1,13,0,0.15,0,0
2001-03-14,61,43,52,5.3,13,0,0,0,0
2001-03-15,53,39,46,-1.1,19,0,0.3,0,0
2001-03-16,51,43,47,-0.4,18,0,0.02,0,0
2001-03-17,55,41,48,0.3,17,0,T,0,0
2001-03-18,52,35,43.5,-4.5,21,0,0,0,0
2001-03-19,55,32,43.5,-4.8,21,0,0,0,0
2001-03-20,53,34,43.5,-5.2,21,0,0.18,0,0
2001-03-21,49,43,46,-3,19,0,1.09,0,0
2001-03-22,54,42,48,-1.3,17,0,T,0,0
2001-03-23,61,39,50,0.3,15,0,0,0,0
2001-03-24,66,37,51.5,1.5,13,0,T,0,0
2001-03-25,50,32,41,-9.4,24,0,0,0,0
2001-03-26,40,29,34.5,-16.2,30,0,0,0,0
2001-03-27,43,25,34,-17.1,31,0,0,0,0
